"","seqnames","start","end","width","strand"
"255","chr1",943488,943516,29,"*"
"256","chr1",943564,944647,1084,"*"
"257","chr1",944688,946464,1777,"*"
"258","chr1",946545,946776,232,"*"
"259","chr1",947054,948102,1049,"*"
"260","chr1",948122,948150,29,"*"
"261","chr1",948235,948494,260,"*"
"262","chr1",948570,950024,1455,"*"
"263","chr1",950594,951164,571,"*"
"264","chr1",951197,952427,1231,"*"
"265","chr1",952493,953176,684,"*"
"266","chr1",953293,954825,1533,"*"
"267","chr1",954877,956141,1265,"*"
"268","chr1",956207,957198,992,"*"
"269","chr1",957215,957218,4,"*"
"270","chr1",957224,958040,817,"*"
"271","chr1",958242,958263,22,"*"
"272","chr1",958449,958456,8,"*"
"273","chr1",958545,959307,763,"*"
"274","chr1",959315,959315,1,"*"
"275","chr1",959353,959405,53,"*"
"276","chr1",959472,959510,39,"*"
"277","chr1",959512,959889,378,"*"
"278","chr1",959926,960034,109,"*"
"279","chr1",961331,962072,742,"*"
"280","chr1",962111,964320,2210,"*"
"281","chr1",964346,964347,2,"*"
"282","chr1",964349,964527,179,"*"
"283","chr1",964855,966466,1612,"*"
"284","chr1",966488,967371,884,"*"
"285","chr1",967397,969371,1975,"*"
"286","chr1",969906,969956,51,"*"
"287","chr1",970169,971016,848,"*"
"288","chr1",971041,972484,1444,"*"
"289","chr1",972753,975100,2348,"*"
"290","chr1",975181,976610,1430,"*"
"291","chr1",978228,979965,1738,"*"
"292","chr1",980009,980009,1,"*"
"293","chr1",980132,983488,3357,"*"
"294","chr1",983492,983518,27,"*"
"295","chr1",983696,984234,539,"*"
"296","chr1",984777,984901,125,"*"
"297","chr1",984903,984903,1,"*"
"298","chr1",985033,985037,5,"*"
"299","chr1",985168,986091,924,"*"
"300","chr1",986398,986791,394,"*"
"301","chr1",986838,986840,3,"*"
"302","chr1",986843,986843,1,"*"
"303","chr1",986884,986886,3,"*"
"304","chr1",986888,986901,14,"*"
"305","chr1",987071,987109,39,"*"
"306","chr1",987578,987669,92,"*"
"307","chr1",987810,987821,12,"*"
"308","chr1",987959,988023,65,"*"
"309","chr1",988040,988306,267,"*"
"310","chr1",988625,988762,138,"*"
"311","chr1",989021,989128,108,"*"
"312","chr1",989244,989575,332,"*"
"313","chr1",989596,989996,401,"*"
"314","chr1",990532,990719,188,"*"
"315","chr1",990974,991376,403,"*"
"316","chr1",991448,991510,63,"*"
"317","chr1",991818,992161,344,"*"
"318","chr1",992167,992168,2,"*"
"319","chr1",992294,992294,1,"*"
"320","chr1",992299,992314,16,"*"
"321","chr1",992474,992910,437,"*"
"322","chr1",993153,994044,892,"*"
"323","chr1",994345,994401,57,"*"
"324","chr1",994550,994557,8,"*"
"325","chr1",994671,994741,71,"*"
"326","chr1",994788,995065,278,"*"
"327","chr1",995154,995165,12,"*"
"328","chr1",995340,996255,916,"*"
"329","chr1",996873,998698,1826,"*"
"330","chr1",999311,999316,6,"*"
"331","chr1",999326,999333,8,"*"
"332","chr1",999336,999387,52,"*"
"333","chr1",999391,999403,13,"*"
"334","chr1",999542,999621,80,"*"
"335","chr1",999625,999626,2,"*"
"336","chr1",999647,999777,131,"*"
"337","chr1",1000427,1001626,1200,"*"
"338","chr1",1001829,1001859,31,"*"
"339","chr1",1001879,1001931,53,"*"
"340","chr1",1001937,1002183,247,"*"
"341","chr1",1002256,1002265,10,"*"
"342","chr1",1002311,1002390,80,"*"
"343","chr1",1002628,1002636,9,"*"
"344","chr1",1002938,1007308,4371,"*"
"345","chr1",1007539,1007588,50,"*"
"346","chr1",1007593,1007603,11,"*"
"347","chr1",1007616,1007708,93,"*"
"348","chr1",1008068,1008122,55,"*"
"349","chr1",1008199,1008514,316,"*"
"350","chr1",1008516,1008517,2,"*"
"351","chr1",1008520,1008520,1,"*"
"352","chr1",1008689,1008693,5,"*"
"353","chr1",1008831,1008835,5,"*"
"354","chr1",1009066,1009393,328,"*"
"355","chr1",1009712,1009792,81,"*"
"356","chr1",1009947,1009970,24,"*"
"357","chr1",1010051,1010093,43,"*"
"358","chr1",1010350,1010728,379,"*"
"359","chr1",1011028,1011053,26,"*"
"360","chr1",1011296,1011578,283,"*"
"361","chr1",1011597,1012108,512,"*"
"362","chr1",1012379,1012545,167,"*"
"363","chr1",1012571,1012747,177,"*"
"364","chr1",1012945,1012983,39,"*"
"365","chr1",1013022,1013027,6,"*"
"366","chr1",1013062,1015768,2707,"*"
"367","chr1",1016299,1016311,13,"*"
"368","chr1",1016483,1016555,73,"*"
"369","chr1",1016672,1016681,10,"*"
"370","chr1",1016683,1016696,14,"*"
"371","chr1",1016698,1016699,2,"*"
"372","chr1",1016839,1016871,33,"*"
"373","chr1",1016915,1016976,62,"*"
"374","chr1",1017108,1017112,5,"*"
"375","chr1",1017258,1017273,16,"*"
"376","chr1",1017394,1017415,22,"*"
"377","chr1",1017418,1017419,2,"*"
"378","chr1",1017421,1017422,2,"*"
"379","chr1",1017566,1017598,33,"*"
"380","chr1",1018131,1018148,18,"*"
"381","chr1",1018327,1018355,29,"*"
"382","chr1",1018447,1018501,55,"*"
"383","chr1",1018587,1018605,19,"*"
"384","chr1",1018876,1018876,1,"*"
"385","chr1",1019124,1019207,84,"*"
"386","chr1",1019257,1019388,132,"*"
"387","chr1",1020974,1025585,4612,"*"
"388","chr1",1025707,1028299,2593,"*"
"389","chr1",1028360,1028465,106,"*"
"390","chr1",1029150,1029366,217,"*"
"391","chr1",1029468,1029580,113,"*"
"392","chr1",1031339,1033244,1906,"*"
"393","chr1",1034228,1035094,867,"*"
"394","chr1",1035237,1039783,4547,"*"
"395","chr1",1039803,1039826,24,"*"
"396","chr1",1039835,1040684,850,"*"
"397","chr1",1040686,1040686,1,"*"
"398","chr1",1040689,1040691,3,"*"
"399","chr1",1040723,1040723,1,"*"
"400","chr1",1041503,1041685,183,"*"
"401","chr1",1041864,1046482,4619,"*"
"402","chr1",1046490,1047900,1411,"*"
"403","chr1",1047906,1048041,136,"*"
"404","chr1",1048048,1048049,2,"*"
"405","chr1",1048052,1048052,1,"*"
"406","chr1",1048481,1048487,7,"*"
"407","chr1",1049399,1049790,392,"*"
"408","chr1",1050118,1052515,2398,"*"
"409","chr1",1052527,1052606,80,"*"
"410","chr1",1052770,1052770,1,"*"
"411","chr1",1052909,1053627,719,"*"
"412","chr1",1053647,1055945,2299,"*"
"413","chr1",1056011,1056352,342,"*"
"414","chr1",1056761,1057027,267,"*"
"415","chr1",1057094,1057179,86,"*"
"416","chr1",1057230,1057233,4,"*"
"417","chr1",1057240,1057240,1,"*"
"418","chr1",1057244,1057248,5,"*"
"419","chr1",1057308,1057474,167,"*"
"420","chr1",1057608,1057610,3,"*"
"421","chr1",1057723,1057742,20,"*"
"422","chr1",1057787,1057812,26,"*"
"423","chr1",1057943,1057954,12,"*"
"424","chr1",1058099,1058750,652,"*"
"425","chr1",1058774,1059325,552,"*"
"426","chr1",1059695,1059900,206,"*"
"427","chr1",1059935,1060101,167,"*"
"428","chr1",1060321,1060442,122,"*"
"429","chr1",1060451,1060981,531,"*"
"430","chr1",1061273,1061591,319,"*"
"431","chr1",1061629,1062020,392,"*"
"432","chr1",1062250,1062381,132,"*"
"433","chr1",1062458,1062545,88,"*"
"434","chr1",1062579,1062586,8,"*"
"435","chr1",1062608,1062609,2,"*"
"436","chr1",1062613,1063647,1035,"*"
"437","chr1",1063693,1064738,1046,"*"
"438","chr1",1065366,1065586,221,"*"
"439","chr1",1065679,1065679,1,"*"
"440","chr1",1065745,1065886,142,"*"
"441","chr1",1065970,1066064,95,"*"
"442","chr1",1066130,1066248,119,"*"
"443","chr1",1066307,1066329,23,"*"
"444","chr1",1066353,1066387,35,"*"
"445","chr1",1066486,1067244,759,"*"
"446","chr1",1067365,1067366,2,"*"
"447","chr1",1067492,1068579,1088,"*"
"448","chr1",1068687,1068699,13,"*"
"449","chr1",1069236,1070297,1062,"*"
"450","chr1",1070318,1071271,954,"*"
"451","chr1",1071406,1071414,9,"*"
"452","chr1",1071504,1071540,37,"*"
"453","chr1",1071556,1071820,265,"*"
"454","chr1",1071959,1071962,4,"*"
"455","chr1",1071964,1071969,6,"*"
"456","chr1",1071971,1071972,2,"*"
"457","chr1",1072109,1073206,1098,"*"
"458","chr1",1073228,1075590,2363,"*"
"459","chr1",1075727,1075819,93,"*"
"460","chr1",1075824,1075824,1,"*"
"461","chr1",1079441,1080474,1034,"*"
"462","chr1",1080477,1080624,148,"*"
"463","chr1",1081031,1087987,6957,"*"
"464","chr1",1088423,1088503,81,"*"
"465","chr1",1088523,1091613,3091,"*"
"466","chr1",1091869,1092921,1053,"*"
"467","chr1",1092970,1094141,1172,"*"
"468","chr1",1094177,1094411,235,"*"
"469","chr1",1094704,1096238,1535,"*"
"470","chr1",1096252,1096259,8,"*"
"471","chr1",1096331,1096368,38,"*"
"472","chr1",1096459,1096740,282,"*"
"473","chr1",1096786,1096838,53,"*"
"474","chr1",1096841,1096842,2,"*"
"475","chr1",1096847,1096847,1,"*"
"476","chr1",1096850,1096879,30,"*"
"477","chr1",1096918,1096974,57,"*"
"478","chr1",1097030,1097121,92,"*"
"479","chr1",1097400,1097440,41,"*"
"480","chr1",1097540,1097562,23,"*"
"481","chr1",1097643,1097643,1,"*"
"482","chr1",1097646,1097652,7,"*"
"483","chr1",1097659,1097662,4,"*"
"484","chr1",1097712,1097712,1,"*"
"485","chr1",1097717,1098073,357,"*"
"486","chr1",1098151,1098174,24,"*"
"487","chr1",1098365,1098645,281,"*"
"488","chr1",1098693,1098706,14,"*"
"489","chr1",1098822,1098841,20,"*"
"490","chr1",1098886,1098979,94,"*"
"491","chr1",1099912,1101225,1314,"*"
"492","chr1",1101247,1101273,27,"*"
"493","chr1",1101281,1101281,1,"*"
"494","chr1",1101353,1101361,9,"*"
"495","chr1",1101459,1101800,342,"*"
"496","chr1",1101941,1101946,6,"*"
"497","chr1",1102113,1102504,392,"*"
"498","chr1",1102787,1102873,87,"*"
"499","chr1",1102991,1103009,19,"*"
"500","chr1",1103149,1103992,844,"*"
"501","chr1",1104289,1104775,487,"*"
"502","chr1",1104818,1105250,433,"*"
"503","chr1",1105299,1105407,109,"*"
"504","chr1",1105472,1105493,22,"*"
"505","chr1",1105520,1105611,92,"*"
"506","chr1",1105910,1106690,781,"*"
"507","chr1",1106797,1106891,95,"*"
"508","chr1",1106923,1106992,70,"*"
"509","chr1",1106996,1107231,236,"*"
"510","chr1",1107310,1107353,44,"*"
"511","chr1",1107551,1107616,66,"*"
"512","chr1",1108038,1108060,23,"*"
"513","chr1",1108085,1108098,14,"*"
"514","chr1",1109186,1109508,323,"*"
"515","chr1",1109530,1109530,1,"*"
"516","chr1",1109536,1109536,1,"*"
"517","chr1",1109547,1109554,8,"*"
"518","chr1",1109608,1111259,1652,"*"
"519","chr1",1111405,1112918,1514,"*"
"520","chr1",1113223,1113900,678,"*"
"521","chr1",1114222,1114920,699,"*"
"522","chr1",1114975,1115379,405,"*"
"523","chr1",1116346,1116402,57,"*"
"524","chr1",1116407,1116408,2,"*"
"525","chr1",1116426,1116438,13,"*"
"526","chr1",1116454,1116463,10,"*"
"527","chr1",1117282,1117736,455,"*"
"528","chr1",1117747,1117862,116,"*"
"529","chr1",1117871,1117872,2,"*"
"530","chr1",1117877,1117942,66,"*"
"531","chr1",1117954,1117973,20,"*"
"532","chr1",1118032,1118996,965,"*"
"533","chr1",1119023,1119750,728,"*"
"534","chr1",1119973,1119996,24,"*"
"535","chr1",1120080,1120415,336,"*"
"536","chr1",1120481,1120623,143,"*"
"537","chr1",1120910,1121604,695,"*"
"538","chr1",1121748,1124047,2300,"*"
"539","chr1",1124142,1126294,2153,"*"
"540","chr1",1126577,1126594,18,"*"
"541","chr1",1126596,1126598,3,"*"
"542","chr1",1126612,1126959,348,"*"
"543","chr1",1127257,1128960,1704,"*"
"544","chr1",1128992,1128994,3,"*"
"545","chr1",1128996,1129889,894,"*"
"546","chr1",1129910,1129967,58,"*"
"547","chr1",1130245,1131367,1123,"*"
"548","chr1",1131720,1133802,2083,"*"
"549","chr1",1134139,1134142,4,"*"
"550","chr1",1134155,1134160,6,"*"
"551","chr1",1134164,1134740,577,"*"
"552","chr1",1134832,1134836,5,"*"
"553","chr1",1134849,1134853,5,"*"
"554","chr1",1134859,1135369,511,"*"
"555","chr1",1135445,1136950,1506,"*"
"556","chr1",1137549,1137560,12,"*"
"557","chr1",1137634,1137638,5,"*"
"558","chr1",1137648,1137774,127,"*"
"559","chr1",1137857,1138175,319,"*"
"560","chr1",1138195,1138200,6,"*"
"561","chr1",1138240,1138289,50,"*"
"562","chr1",1138617,1139064,448,"*"
"563","chr1",1140726,1141005,280,"*"
"564","chr1",1141007,1141007,1,"*"
"565","chr1",1141743,1142049,307,"*"
"566","chr1",1142157,1142219,63,"*"
"567","chr1",1142519,1143389,871,"*"
"568","chr1",1143401,1144937,1537,"*"
"569","chr1",1144945,1145511,567,"*"
"570","chr1",1145570,1147138,1569,"*"
"571","chr1",1147456,1147779,324,"*"
"572","chr1",1147895,1147952,58,"*"
"573","chr1",1148030,1148843,814,"*"
"574","chr1",1149073,1152418,3346,"*"
"575","chr1",1152420,1152424,5,"*"
"576","chr1",1152426,1152436,11,"*"
"577","chr1",1152742,1152796,55,"*"
"578","chr1",1153091,1153122,32,"*"
"579","chr1",1153408,1153434,27,"*"
"580","chr1",1153579,1153710,132,"*"
"581","chr1",1153733,1153764,32,"*"
"582","chr1",1153829,1154528,700,"*"
"583","chr1",1154561,1154561,1,"*"
"584","chr1",1154563,1154563,1,"*"
"585","chr1",1154812,1154812,1,"*"
"586","chr1",1154816,1154895,80,"*"
"587","chr1",1155176,1156357,1182,"*"
"588","chr1",1156396,1156429,34,"*"
"589","chr1",1156472,1156853,382,"*"
"590","chr1",1156856,1156856,1,"*"
"591","chr1",1156903,1157064,162,"*"
"592","chr1",1157595,1159053,1459,"*"
"593","chr1",1159325,1159843,519,"*"
"594","chr1",1159895,1159973,79,"*"
"595","chr1",1160115,1166432,6318,"*"
"596","chr1",1166931,1166980,50,"*"
"597","chr1",1166991,1168001,1011,"*"
"598","chr1",1168126,1170438,2313,"*"
"599","chr1",1170569,1170569,1,"*"
"600","chr1",1170573,1172611,2039,"*"
"601","chr1",1173028,1174837,1810,"*"
"602","chr1",1175141,1175299,159,"*"
"603","chr1",1175344,1175739,396,"*"
"604","chr1",1176395,1177040,646,"*"
"605","chr1",1177112,1177307,196,"*"
"606","chr1",1177613,1178288,676,"*"
"607","chr1",1178580,1180351,1772,"*"
"608","chr1",1180540,1180566,27,"*"
"609","chr1",1180568,1180572,5,"*"
"610","chr1",1181092,1184652,3561,"*"
"611","chr1",1184985,1186074,1090,"*"
"612","chr1",1186392,1186826,435,"*"
"613","chr1",1187154,1187364,211,"*"
"614","chr1",1187653,1187657,5,"*"
"615","chr1",1187851,1187860,10,"*"
"616","chr1",1187862,1187875,14,"*"
"617","chr1",1187930,1188391,462,"*"
"618","chr1",1188606,1188610,5,"*"
"619","chr1",1188700,1189841,1142,"*"
"620","chr1",1190143,1190230,88,"*"
"621","chr1",1190271,1190420,150,"*"
"622","chr1",1190657,1190828,172,"*"
"623","chr1",1191102,1191377,276,"*"
"624","chr1",1191426,1191628,203,"*"
"625","chr1",1191698,1191802,105,"*"
"626","chr1",1191868,1191931,64,"*"
"627","chr1",1191933,1191934,2,"*"
"628","chr1",1191977,1192053,77,"*"
"629","chr1",1192056,1192056,1,"*"
"630","chr1",1192059,1192063,5,"*"
"631","chr1",1192097,1192362,266,"*"
"632","chr1",1192882,1193044,163,"*"
"633","chr1",1193342,1193469,128,"*"
"634","chr1",1193761,1193902,142,"*"
"635","chr1",1193911,1194065,155,"*"
"636","chr1",1194086,1195028,943,"*"
"637","chr1",1195089,1195091,3,"*"
"638","chr1",1195093,1195107,15,"*"
"639","chr1",1195280,1195464,185,"*"
"640","chr1",1195647,1195742,96,"*"
"641","chr1",1195796,1195842,47,"*"
"642","chr1",1196068,1197200,1133,"*"
"643","chr1",1197225,1197238,14,"*"
"644","chr1",1197816,1198755,940,"*"
"645","chr1",1198840,1200208,1369,"*"
"646","chr1",1200230,1201050,821,"*"
"647","chr1",1202839,1204489,1651,"*"
"648","chr1",1204520,1207838,3319,"*"
"649","chr1",1207882,1207884,3,"*"
"650","chr1",1208125,1208230,106,"*"
"651","chr1",1208252,1208832,581,"*"
"652","chr1",1208949,1209524,576,"*"
"653","chr1",1209554,1209578,25,"*"
"654","chr1",1209659,1209691,33,"*"
"655","chr1",1209721,1209738,18,"*"
"656","chr1",1209779,1209872,94,"*"
"657","chr1",1210133,1211056,924,"*"
"658","chr1",1211227,1211228,2,"*"
"659","chr1",1211276,1211276,1,"*"
"660","chr1",1211287,1212444,1158,"*"
"661","chr1",1212693,1213339,647,"*"
"662","chr1",1213385,1213839,455,"*"
"663","chr1",1213961,1214166,206,"*"
"664","chr1",1214172,1214187,16,"*"
"665","chr1",1214219,1214220,2,"*"
"666","chr1",1214222,1214225,4,"*"
"667","chr1",1214227,1214228,2,"*"
"668","chr1",1214234,1214564,331,"*"
"669","chr1",1214758,1214793,36,"*"
"670","chr1",1214795,1214795,1,"*"
"671","chr1",1214871,1217260,2390,"*"
"672","chr1",1217531,1219212,1682,"*"
"673","chr1",1219248,1221051,1804,"*"
"674","chr1",1221060,1221060,1,"*"
"675","chr1",1221066,1221801,736,"*"
"676","chr1",1221818,1223732,1915,"*"
"677","chr1",1223863,1224292,430,"*"
"678","chr1",1224470,1224477,8,"*"
"679","chr1",1224563,1224653,91,"*"
"680","chr1",1224685,1224884,200,"*"
"681","chr1",1224888,1227283,2396,"*"
"682","chr1",1227507,1229206,1700,"*"
"683","chr1",1229209,1229209,1,"*"
"684","chr1",1229245,1229443,199,"*"
"685","chr1",1229513,1230446,934,"*"
"686","chr1",1230611,1230627,17,"*"
"687","chr1",1230746,1231828,1083,"*"
"688","chr1",1231831,1231831,1,"*"
"689","chr1",1231972,1232024,53,"*"
"690","chr1",1232860,1240507,7648,"*"
"691","chr1",1240781,1243115,2335,"*"
"692","chr1",1243361,1244676,1316,"*"
