"","seqnames","start","end","width","flank.5","flank.3","total.width"
"164","chr1",7921339,7921382,44,94,3,141
"165","chr1",7928881,7928933,53,8,4,65
"166","chr1",7951305,7951324,20,115,4,139
"167","chr1",7955020,7955044,25,5,50,80
"168","chr1",7977986,7978014,29,76,16,121
"169","chr1",7986970,7986993,24,97,135,256
"170","chr1",7990873,7990900,28,7,15,50
"171","chr1",8057965,8058023,59,24,79,162
"172","chr1",8058028,8058070,43,71,16,130
"173","chr1",8074276,8074298,23,67,32,122
"174","chr1",8129281,8129301,21,76,83,180
"175","chr1",8144577,8144607,31,125,19,175
"176","chr1",8160403,8160424,22,9,132,163
"177","chr1",8163467,8163521,55,47,63,165
"178","chr1",8164264,8164281,18,9,8,35
"179","chr1",8187354,8187380,27,5,57,89
"180","chr1",8241069,8241096,28,75,8,111
"181","chr1",8254995,8255014,20,69,64,153
"182","chr1",8255435,8255493,59,39,13,111
"183","chr1",8291397,8291421,25,8,43,76
"184","chr1",8423870,8423905,36,1,20,57
"185","chr1",8507738,8507756,19,7,120,146
"186","chr1",8531008,8531106,99,75,128,302
"187","chr1",8531108,8531135,28,104,28,160
"188","chr1",8545983,8546007,25,43,11,79
"189","chr1",8601018,8601037,20,8,47,75
"190","chr1",8730338,8730361,24,77,90,191
"191","chr1",8798992,8799013,22,78,145,245
"192","chr1",8817827,8817854,28,84,48,160
"193","chr1",8823398,8823423,26,120,147,293
"194","chr1",8832604,8832636,33,8,114,155
"195","chr1",8853418,8853449,32,77,35,144
"196","chr1",8882455,8882480,26,76,11,113
"197","chr1",8906589,8906611,23,7,141,171
"198","chr1",8906901,8906925,25,8,4,37
"199","chr1",8913370,8913393,24,71,119,214
"200","chr1",8917014,8917046,33,147,6,186
"201","chr1",8971312,8971329,18,8,114,140
"202","chr1",9005782,9005800,19,31,31,81
"203","chr1",9010344,9010370,27,3,5,35
"204","chr1",9026887,9026912,26,76,118,220
"205","chr1",9165672,9165690,19,70,39,128
"206","chr1",9165856,9165873,18,76,65,159
"207","chr1",9198919,9198949,31,93,25,149
"208","chr1",9234708,9234749,42,65,94,201
"209","chr1",9291573,9291590,18,113,144,275
"210","chr1",9292797,9292821,25,1,70,96
"211","chr1",9361152,9361183,32,32,20,84
"212","chr1",9420028,9420056,29,76,24,129
"213","chr1",9427944,9427966,23,38,74,135
"214","chr1",9502022,9502040,19,6,69,94
"215","chr1",9511874,9511908,35,68,100,203
"216","chr1",9523516,9523560,45,45,46,136
"217","chr1",9523560,9523591,32,76,2,110
"218","chr1",9533797,9533818,22,76,37,135
"219","chr1",9541148,9541171,24,76,76,176
"220","chr1",9599616,9599638,23,74,84,181
"221","chr1",9620320,9620337,18,7,68,93
"222","chr1",9636878,9636912,35,5,26,66
"223","chr1",9639722,9639748,27,77,21,125
"224","chr1",9643074,9643118,45,78,20,143
"225","chr1",9655067,9655089,23,54,74,151
"226","chr1",9674693,9674725,33,123,3,159
"227","chr1",9678145,9678178,34,144,73,251
"228","chr1",9689449,9689474,26,3,25,54
"229","chr1",9720668,9720690,23,141,26,190
"230","chr1",9730649,9730678,30,92,52,174
"231","chr1",9772141,9772166,26,40,109,175
"232","chr1",9823863,9823881,19,25,29,73
"233","chr1",9837869,9838036,168,82,45,295
"234","chr1",9844534,9844558,25,131,111,267
"235","chr1",9851343,9851373,31,61,89,181
"236","chr1",9881330,9881355,26,6,15,47
"237","chr1",9910038,9910082,45,69,116,230
"238","chr1",9919729,9919752,24,9,47,80
"239","chr1",9959374,9959398,25,145,72,242
"240","chr1",9998380,9998410,31,61,110,202
"241","chr1",10023914,10023939,26,76,69,171
"242","chr1",10035714,10035760,47,7,137,191
"243","chr1",10041694,10041712,19,5,86,110
"244","chr1",10068338,10068367,30,76,54,160
"245","chr1",10088357,10088397,41,80,84,205
"246","chr1",10154243,10154273,31,82,74,187
"247","chr1",10202165,10202190,26,10,97,133
"248","chr1",10235863,10235883,21,40,73,134
"249","chr1",10313549,10313568,20,8,58,86
"250","chr1",10332502,10332533,32,76,9,117
"251","chr1",10390504,10390526,23,77,132,232
"252","chr1",10436333,10436360,28,88,91,207
"253","chr1",10443399,10443424,26,73,61,160
"254","chr1",10455053,10455072,20,5,50,75
"255","chr1",10457673,10457700,28,85,11,124
"256","chr1",10491675,10491697,23,75,2,100
"257","chr1",10554134,10554154,21,145,27,193
"258","chr1",10555637,10555667,31,12,143,186
"259","chr1",10600718,10600739,22,35,6,63
"260","chr1",10627929,10627953,25,8,33,66
"261","chr1",10638896,10638916,21,59,87,167
"262","chr1",10639084,10639151,68,28,40,136
"263","chr1",10639216,10639236,21,43,101,165
"264","chr1",10642285,10642313,29,149,73,251
"265","chr1",10664809,10664828,20,8,52,80
"266","chr1",10694585,10694622,38,36,46,120
"267","chr1",10709605,10709658,54,74,58,186
"268","chr1",10714308,10714365,58,9,5,72
"269","chr1",10779280,10779301,22,26,109,157
"270","chr1",10794135,10794199,65,103,38,206
"271","chr1",10794529,10794546,18,7,141,166
"272","chr1",10796055,10796073,19,101,10,130
"273","chr1",10796402,10796429,28,80,14,122
"274","chr1",10820858,10820880,23,36,48,107
"275","chr1",10824633,10824683,51,23,3,77
"276","chr1",10863309,10863335,27,83,17,127
"277","chr1",10871228,10871251,24,72,131,227
"278","chr1",10875595,10875622,28,9,127,164
"279","chr1",10891804,10891822,19,78,25,122
"280","chr1",10929932,10929953,22,14,6,42
"281","chr1",10946478,10946495,18,15,53,86
"282","chr1",10983046,10983090,45,14,74,133
"283","chr1",11002827,11002874,48,86,6,140
"284","chr1",11008945,11008968,24,15,3,42
"285","chr1",11012295,11012313,19,81,123,223
"286","chr1",11033927,11033966,40,23,80,143
"287","chr1",11033966,11033986,21,43,41,105
"288","chr1",11055121,11055138,18,29,93,140
"289","chr1",11059944,11059966,23,47,19,89
"290","chr1",11061214,11061233,20,1,131,152
"291","chr1",11073878,11073900,23,9,9,41
"292","chr1",11119574,11119599,26,148,3,177
"293","chr1",11202905,11202926,22,8,127,157
"294","chr1",11334316,11334338,23,67,6,96
"295","chr1",11354139,11354166,28,91,6,125
"296","chr1",11370494,11370528,35,75,116,226
"297","chr1",11391979,11392003,25,93,52,170
"298","chr1",11418016,11418053,38,70,74,182
"299","chr1",11462876,11462894,19,19,120,158
"300","chr1",11491610,11491638,29,149,75,253
"301","chr1",11496366,11496393,28,34,97,159
"302","chr1",11502154,11502189,36,121,81,238
"303","chr1",11544321,11544345,25,133,34,192
"304","chr1",11654463,11654489,27,100,59,186
"305","chr1",11662938,11662974,37,8,76,121
"306","chr1",11665555,11665578,24,76,11,111
"307","chr1",11690924,11690961,38,119,63,220
"308","chr1",11760813,11760857,45,8,92,145
"309","chr1",11858855,11858892,38,5,5,48
"310","chr1",11896057,11896075,19,112,6,137
"311","chr1",11898029,11898066,38,34,6,78
"312","chr1",11901850,11901868,19,10,27,56
"313","chr1",11909480,11909506,27,143,6,176
"314","chr1",11941225,11941258,34,35,116,185
"315","chr1",11943287,11943313,27,7,146,180
"316","chr1",11980519,11980536,18,44,103,165
"317","chr1",11991924,11991952,29,68,6,103
"318","chr1",12016260,12016277,18,67,43,128
"319","chr1",12018935,12018971,37,148,27,212
"320","chr1",12023060,12023081,22,8,97,127
"321","chr1",12040097,12040115,19,11,71,101
"322","chr1",12050318,12050335,18,37,143,198
"323","chr1",12124830,12124887,58,14,66,138
"324","chr1",12166933,12166950,18,27,144,189
"325","chr1",12198660,12198684,25,52,136,213
"326","chr1",12242938,12242971,34,9,9,52
"327","chr1",12275221,12275245,25,125,40,190
"328","chr1",12508543,12508565,23,82,30,135
"329","chr1",12516070,12516088,19,8,7,34
"330","chr1",12558225,12558244,20,88,36,144
"331","chr1",12571527,12571547,21,68,120,209
"332","chr1",12617515,12617540,26,79,1,106
"333","chr1",12648347,12648408,62,70,68,200
"334","chr1",12837995,12838050,56,114,6,176
"335","chr1",13232644,13232665,22,5,8,35
"336","chr1",13232649,13232682,34,22,3,59
"337","chr1",13443299,13443337,39,63,13,115
"338","chr1",13530989,13531008,20,78,26,124
"339","chr1",13649997,13650016,20,27,5,52
"340","chr1",13671959,13671981,23,6,145,174
"341","chr1",13808464,13808483,20,78,33,131
"342","chr1",14598736,14598759,24,21,47,92
"343","chr1",14628843,14628863,21,75,122,218
"344","chr1",14734291,14734326,36,81,87,204
"345","chr1",14776934,14776955,22,13,76,111
"346","chr1",14776984,14777019,36,77,26,139
"347","chr1",14798743,14798767,25,65,2,92
"348","chr1",14801667,14801702,36,77,10,123
"349","chr1",14894739,14894767,29,11,7,47
"350","chr1",14905846,14905875,30,136,32,198
"351","chr1",14924048,14924073,26,2,45,73
"352","chr1",14924583,14924602,20,37,18,75
"353","chr1",15005456,15005476,21,120,27,168
"354","chr1",15037585,15037611,27,15,27,69
"355","chr1",15041323,15041354,32,125,84,241
"356","chr1",15315486,15315503,18,76,125,219
"357","chr1",15390345,15390367,23,35,7,65
"358","chr1",15430874,15430897,24,8,4,36
"359","chr1",15436456,15436474,19,92,21,132
"360","chr1",15521157,15521176,20,133,6,159
"361","chr1",15572353,15572376,24,75,142,241
"362","chr1",15590522,15590553,32,12,72,116
"363","chr1",15617632,15617655,24,141,83,248
"364","chr1",15619451,15619483,33,80,120,233
"365","chr1",15675435,15675453,19,23,72,114
"366","chr1",15684501,15684544,44,4,6,54
"367","chr1",15686649,15686666,18,8,142,168
"368","chr1",15704284,15704323,40,43,116,199
"369","chr1",15738782,15738826,45,79,77,201
"370","chr1",15742427,15742444,18,45,63,126
"371","chr1",15760221,15760238,18,138,9,165
"372","chr1",15765306,15765328,23,54,48,125
"373","chr1",15771240,15771264,25,76,10,111
"374","chr1",15792684,15792722,39,107,56,202
"375","chr1",15798701,15798723,23,9,5,37
"376","chr1",15807579,15807601,23,142,81,246
"377","chr1",15823843,15823865,23,44,65,132
"378","chr1",15847934,15847981,48,58,21,127
"379","chr1",15865421,15865439,19,7,27,53
"380","chr1",15872223,15872244,22,81,49,152
"381","chr1",15894920,15894939,20,75,58,153
"382","chr1",16017889,16017916,28,90,14,132
"383","chr1",16114503,16114526,24,34,72,130
"384","chr1",16154757,16154780,24,117,73,214
"385","chr1",16207884,16207902,19,26,103,148
"386","chr1",16210274,16210291,18,96,58,172
"387","chr1",16215420,16215462,43,7,40,90
"388","chr1",16284972,16284990,19,139,70,228
"389","chr1",16310194,16310211,18,145,7,170
"390","chr1",16310975,16311002,28,105,136,269
"391","chr1",16331423,16331452,30,131,64,225
"392","chr1",16345848,16345865,18,85,73,176
"393","chr1",16360970,16361013,44,15,145,204
"394","chr1",16415551,16415569,19,68,30,117
"395","chr1",16438371,16438419,49,44,60,153
"396","chr1",16483130,16483154,25,24,4,53
"397","chr1",16499362,16499385,24,1,41,66
"398","chr1",16500081,16500105,25,18,75,118
"399","chr1",16518876,16518898,23,130,74,227
"400","chr1",16586341,16586359,19,83,139,241
"401","chr1",16637555,16637575,21,141,123,285
"402","chr1",16658233,16658267,35,37,7,79
"403","chr1",16692440,16692482,43,12,128,183
"404","chr1",16699527,16699550,24,9,52,85
"405","chr1",16708314,16708337,24,76,43,143
"406","chr1",16733500,16733540,41,61,96,198
"407","chr1",16749201,16749235,35,9,35,79
"408","chr1",16862948,16862970,23,79,36,138
"409","chr1",16937353,16937375,23,30,119,172
"410","chr1",16939210,16939227,18,145,12,175
"411","chr1",16940221,16940239,19,7,27,53
"412","chr1",16961206,16961230,25,15,43,83
"413","chr1",16962535,16962561,27,43,74,144
"414","chr1",16994198,16994241,44,67,119,230
"415","chr1",16994219,16994249,31,75,98,204
"416","chr1",17017007,17017028,22,67,6,95
"417","chr1",17049648,17049677,30,23,105,158
"418","chr1",17422027,17422062,36,30,54,120
"419","chr1",17432960,17432988,29,48,4,81
"420","chr1",17458257,17458275,19,75,75,169
"421","chr1",17478691,17478714,24,4,1,29
"422","chr1",17484644,17484661,18,9,143,170
"423","chr1",17513032,17513052,21,63,71,155
"424","chr1",17513049,17513067,19,78,54,151
"425","chr1",17521185,17521210,26,4,132,162
"426","chr1",17608030,17608051,22,9,48,79
"427","chr1",17680075,17680110,36,138,16,190
"428","chr1",17731989,17732019,31,12,4,47
"429","chr1",17743324,17743347,24,60,146,230
"430","chr1",17748842,17748877,36,27,4,67
"431","chr1",17800584,17800610,27,74,88,189
"432","chr1",17894951,17894986,36,108,73,217
"433","chr1",18001625,18001660,36,14,7,57
"434","chr1",18108986,18109015,30,37,123,190
"435","chr1",18208549,18208570,22,29,75,126
"436","chr1",18471864,18471896,33,75,58,166
"437","chr1",18630804,18630834,31,4,13,48
"438","chr1",18646873,18646896,24,35,28,87
"439","chr1",18678083,18678123,41,141,5,187
"440","chr1",18717037,18717061,25,10,38,73
"441","chr1",18728698,18728715,18,145,6,169
"442","chr1",18822471,18822512,42,120,125,287
"443","chr1",18866623,18866643,21,37,62,120
"444","chr1",18956232,18956278,47,17,15,79
"445","chr1",19025213,19025235,23,12,74,109
"446","chr1",19235702,19235733,32,67,73,172
"447","chr1",19262640,19262657,18,145,100,263
"448","chr1",19335613,19335630,18,145,35,198
"449","chr1",19338803,19338820,18,32,93,143
"450","chr1",19460575,19460597,23,126,12,161
"451","chr1",19485728,19485760,33,1,19,53
"452","chr1",19486001,19486032,32,63,76,171
"453","chr1",19560966,19560983,18,5,74,97
"454","chr1",19635632,19635649,18,10,141,169
"455","chr1",19635645,19635673,29,34,128,191
"456","chr1",19637341,19637368,28,13,5,46
"457","chr1",19799913,19799931,19,72,26,117
"458","chr1",19911389,19911407,19,76,72,167
"459","chr1",20206892,20206911,20,33,143,196
"460","chr1",20444945,20444963,19,78,42,139
"461","chr1",20485582,20485599,18,16,29,63
"462","chr1",20523001,20523027,27,4,8,39
"463","chr1",20553764,20553791,28,12,98,138
"464","chr1",20556384,20556418,35,18,137,190
"465","chr1",20576342,20576366,25,126,43,194
"466","chr1",20669538,20669589,52,51,5,108
"467","chr1",21072383,21072420,38,7,41,86
"468","chr1",21147326,21147348,23,66,10,99
"469","chr1",21176227,21176280,54,59,13,126
"470","chr1",21176568,21176611,44,15,11,70
"471","chr1",21185641,21185682,42,72,123,237
"472","chr1",21191867,21191896,30,8,83,121
"473","chr1",21287527,21287555,29,121,42,192
"474","chr1",21319348,21319387,40,25,71,136
"475","chr1",21348512,21348534,23,17,9,49
"476","chr1",21372211,21372231,21,10,67,98
"477","chr1",21401830,21401877,48,26,73,147
"478","chr1",21404257,21404278,22,21,76,119
"479","chr1",21509299,21509360,62,91,11,164
"480","chr1",21573437,21573481,45,14,74,133
"481","chr1",21580731,21580764,34,96,2,132
"482","chr1",21603938,21603961,24,33,25,82
"483","chr1",21622613,21622633,21,86,5,112
"484","chr1",21637973,21637992,20,136,33,189
"485","chr1",21638149,21638175,27,13,8,48
"486","chr1",21651904,21651924,21,15,58,94
"487","chr1",21796721,21796751,31,91,2,124
"488","chr1",21817858,21817877,20,28,122,170
"489","chr1",22009365,22009389,25,64,5,94
"490","chr1",22051826,22051862,37,18,68,123
"491","chr1",22142263,22142280,18,6,130,154
"492","chr1",22142804,22142825,22,30,10,62
"493","chr1",22143123,22143159,37,4,39,80
"494","chr1",22143155,22143200,46,21,7,74
"495","chr1",22156890,22156913,24,55,18,97
"496","chr1",22158344,22158361,18,6,6,30
"497","chr1",22341239,22341257,19,81,82,182
"498","chr1",22374768,22374801,34,23,22,79
"499","chr1",22412869,22412908,40,2,12,54
"500","chr1",22558689,22558712,24,7,38,69
"501","chr1",22563455,22563474,20,4,15,39
"502","chr1",22563614,22563635,22,138,51,211
"503","chr1",22563736,22563762,27,29,35,91
"504","chr1",22580128,22580154,27,73,121,221
"505","chr1",22629513,22629535,23,130,38,191
"506","chr1",22644065,22644090,26,57,105,188
"507","chr1",22711052,22711070,19,25,9,53
"508","chr1",22819206,22819250,45,107,3,155
"509","chr1",22864035,22864058,24,3,69,96
"510","chr1",22928136,22928156,21,110,74,205
"511","chr1",22991871,22991922,52,49,5,106
"512","chr1",23008091,23008125,35,77,74,186
"513","chr1",23218509,23218542,34,7,76,117
"514","chr1",23235836,23235899,64,70,61,195
"515","chr1",23241251,23241273,23,100,73,196
"516","chr1",23251029,23251053,25,118,4,147
"517","chr1",23355040,23355058,19,58,146,223
"518","chr1",23488969,23488991,23,74,16,113
"519","chr1",23525356,23525378,23,1,88,112
"520","chr1",23531239,23531266,28,50,13,91
"521","chr1",23541612,23541630,19,20,74,113
"522","chr1",23582564,23582584,21,35,76,132
"523","chr1",23586198,23586219,22,76,61,159
"524","chr1",23623054,23623081,28,10,76,114
"525","chr1",23637189,23637212,24,14,13,51
"526","chr1",23690487,23690507,21,29,143,193
"527","chr1",23691421,23691440,20,18,4,42
"528","chr1",23725296,23725316,21,77,27,125
"529","chr1",23766407,23766443,37,26,42,105
"530","chr1",23800274,23800297,24,88,81,193
"531","chr1",23809218,23809239,22,10,133,165
"532","chr1",23809239,23809257,19,9,112,140
"533","chr1",23826754,23826811,58,34,48,140
"534","chr1",23839411,23839433,23,14,139,176
"535","chr1",23898336,23898359,24,8,146,178
"536","chr1",23902787,23902805,19,103,23,145
"537","chr1",23903080,23903098,19,1,56,76
"538","chr1",23918040,23918063,24,18,4,46
"539","chr1",23925969,23925995,27,126,51,204
"540","chr1",24099864,24099882,19,4,18,41
"541","chr1",24219066,24219331,266,111,112,489
"542","chr1",24259550,24259595,46,112,6,164
"543","chr1",24401686,24401708,23,119,27,169
"544","chr1",24500397,24500414,18,102,6,126
"545","chr1",24503164,24503188,25,54,23,102
"546","chr1",24503214,24503237,24,103,1,128
"547","chr1",24532949,24532975,27,32,9,68
"548","chr1",24538572,24538591,20,32,75,127
"549","chr1",24583718,24583738,21,74,72,167
"550","chr1",24613464,24613490,27,77,33,137
"551","chr1",24624886,24624908,23,77,10,110
"552","chr1",24712040,24712064,25,46,6,77
"553","chr1",24728759,24728777,19,65,1,85
"554","chr1",24745494,24745520,27,7,98,132
"555","chr1",24755437,24755455,19,91,76,186
"556","chr1",24813402,24813436,35,76,85,196
"557","chr1",24833827,24833844,18,12,3,33
"558","chr1",24859752,24859772,21,68,124,213
"559","chr1",24859773,24859811,39,107,103,249
"560","chr1",24969660,24969682,23,83,35,141
"561","chr1",25105741,25105761,21,35,75,131
"562","chr1",25245991,25246010,20,114,70,204
"563","chr1",25256148,25256166,19,115,144,278
"564","chr1",25406311,25406329,19,75,125,219
"565","chr1",25430046,25430070,25,35,102,162
"566","chr1",25547483,25547528,46,38,98,182
"567","chr1",25616804,25616838,35,20,12,67
"568","chr1",25681227,25681268,42,104,73,219
"569","chr1",25690289,25690310,22,8,39,69
"570","chr1",25700127,25700149,23,29,33,85
"571","chr1",25792365,25792404,40,131,45,216
"572","chr1",25792573,25792594,22,16,1,39
"573","chr1",25800118,25800186,69,65,41,175
"574","chr1",25868710,25868730,21,31,91,143
"575","chr1",25906067,25906090,24,53,137,214
"576","chr1",25954458,25954498,41,12,73,126
"577","chr1",25970478,25970500,23,116,56,195
"578","chr1",25991892,25991914,23,59,7,89
"579","chr1",26006634,26006668,35,27,21,83
"580","chr1",26019001,26019029,29,9,58,96
"581","chr1",26111186,26111205,20,85,55,160
"582","chr1",26117744,26117765,22,109,73,204
"583","chr1",26164401,26164428,28,37,57,122
"584","chr1",26204578,26204599,22,86,66,174
"585","chr1",26264981,26265003,23,10,146,179
"586","chr1",26316126,26316151,26,124,143,293
"587","chr1",26373388,26373411,24,80,74,178
"588","chr1",26390571,26390591,21,13,6,40
"589","chr1",26396078,26396097,20,77,135,232
"590","chr1",26409287,26409316,30,18,110,158
"591","chr1",26410378,26410416,39,53,135,227
"592","chr1",26410666,26410699,34,13,109,156
"593","chr1",26432225,26432247,23,65,105,193
"594","chr1",26434821,26434840,20,35,130,185
"595","chr1",26435431,26435455,25,76,24,125
"596","chr1",26451622,26451646,25,76,144,245
"597","chr1",26488459,26488668,210,19,62,291
"598","chr1",26508879,26508906,28,69,113,210
"599","chr1",26511542,26511559,18,75,115,208
"600","chr1",26517325,26517392,68,36,98,202
"601","chr1",26523257,26523282,26,118,3,147
"602","chr1",26637352,26637391,40,75,82,197
"603","chr1",26643040,26643058,19,25,4,48
"604","chr1",26695951,26696015,65,12,69,146
"605","chr1",26696167,26696217,51,36,8,95
"606","chr1",26696650,26696681,32,66,65,163
"607","chr1",26719942,26719960,19,4,5,28
